video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=SNF8b7KKJ2I&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@HomeschoolPop,Homeschool Pop,Ecosystems for Kids,1.2M,7 years,Learn all about ecosystems for kids in this video for elementary students. Videos from Homeschool Pop share concepts in a fun ...,2026-01-22 02:35:29.861660
/watch?v=sKJoXdrOT70&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@Peekaboo_Kidz,Peekaboo Kidz,ECOSYSTEM - The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,3.5M,8 years,Hey kids! Do you know what is an Ecosystem? Did you know every nook and cranny of the world could be its own system! Well ...,2026-01-22 02:35:29.863124
/watch?v=7cRgK0qG00E&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@TheWildReportOfficial,The Wild Report,Ecosystems Episode 1: What is an ecosystem?,584K,5 years,This special video series is designed for use by educators and parents to help supplement online education efforts during the ...,2026-01-22 02:35:29.864130
/watch?v=KQF9WdZrH_c&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@crashcourse,CrashCourse,What Are Ecosystems? Crash Course Geography #15,464K,4 years,Today we're going to take a closer look at ecosystems -- which are communities of living organisms in an area interacting with ...,2026-01-22 02:35:29.865339
/watch?v=1XfkVva5p2Q&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@STEAMspirations,STEAMspirations,"What is an Ecosystem? | Populations, Communities, Abiotic & Biotic Factors",227K,4 years,The Must-Have Digital Toolkit for Mastering Organisms & Their Environment! Crafted by Experts! Get it Now: ...,2026-01-22 02:35:29.866205
/watch?v=v6ubvEJ3KGM&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@crashcourse,CrashCourse,Ecosystem Ecology: Links in the Chain - Crash Course Ecology #7,1.6M,13 years,"Hank brings us to the next level of ecological study with ecosystem ecology, which looks at how energy, nutrients, and materials ...",2026-01-22 02:35:29.867088
/watch?v=HuxLr1nCftc&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@tanksfornothin,tanks for nothin,Inside My Flooded Cave Ecosystem (One Year of Growth),3M,1 year,"Making a nocturnal, underground paludarium was not the plan when I set out to build a DIY fish tank rack. After carving foam into ...",2026-01-22 02:35:29.868399
/watch?v=H6PBtCfgcHo&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@SmileandLearnEnglish,Smile and Learn - English,What are ecosystems? Types of Ecosystems for Kids,357K,5 years,Educational video for children to learn what ecosystems are and what types of ecosystems exist. An ecosystem is the community ...,2026-01-22 02:35:29.869337
/watch?v=QTH9m6MDIfc&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@DrPlants,Dr. Plants,"One Year Ago I Built an Ecosystem, This Happened",36M,3 years,"nature #ecosystem #terrarium Vampire crabs, Mourning Geckos, and so much more! Watch as it transforms evolves into a ...",2026-01-22 02:35:29.870316
/watch?v=srpl5YRw-_U&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@AmoebaSisters,Amoeba Sisters,"Ecology Review: Food Chains & Webs, Relationships, Nitrogen & Carbon Cycles, Effects on Biodiversity",409K,1 year,Join the Amoeba Sisters in this longer review video as they review ecology topics (see topics in table of contents by expanding ...,2026-01-22 02:35:29.871310
/watch?v=gT5pGA2H-x8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@LearnBright,Learn Bright,Biomes and Ecosystems for Kids | Learn about the different types of ecosystems and biomes,515K,5 years,Biomes and Ecosystems for Kids is a introductory video for students in 4th - 6th grade. We cover the 5 major categories of biomes ...,2026-01-22 02:35:29.872237
/watch?v=CXMh5nCRsIQ&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@leafystreet,Leafy Street,Building a Tiny Beach Ecosystem (with 26 creatures),8.9M,6 months,Thanks to Displate for sponsoring this video. Use code LEAFYSTREET at checkout for exclusive discounts on your order at ...,2026-01-22 02:35:29.873135
/watch?v=bRH3c9RfXtA&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@TerraGreen1,TerraGreen,"$10 vs $1,000 Terrarium Ecosystem!",5.4M,1 year,TerraGreen Merch : https://terragreenstore.com/ Terrariums are an awesome way to bring a chunk of an ecosystem into your ...,2026-01-22 02:35:29.873795
/watch?v=6DiUiggX3yA&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@internalnature,Internal Nature,I Simulated a British Ecosystem for 200+ Days,46K,3 weeks,"Britain has over 90000 kilometres of rivers and streams, yet much of the life within them goes unnoticed. In this video, I set out to ...",2026-01-22 02:35:29.874550
/watch?v=eGG7hyx_HlA&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@fuseschool,FuseSchool - Global Education,What Is An Ecosystem? | Ecology & Environment | Biology | FuseSchool,255K,13 years,In this video you'll learn all about ecosystems and how energy is transferred between organisms living together it the same ...,2026-01-22 02:35:29.876138
/watch?v=oW6Cj6tPh2k&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@AquariumInfo,Aquarium Info,I Turned my Bathroom into a Giant Ecosystem...,24M,2 years,"Over the past 100 days, I turned my bathroom into a GIANT ecosystem teeming with life! And at the end, I welcome a deadly ...",2026-01-22 02:35:29.877320
/watch?v=NYnVf9XnDLI&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@ryan,Ryan Trahan,I Built a Tiny Ecosystem,19M,3 years,not to be dramatic but i would die for bobby.,2026-01-22 02:35:29.879020
/watch?v=Dg2S3IY0hPA&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@SmallScaleTales,SmallScaleTales,Simulating a Mutated Ecosystem after the APOCALYPSE - All Episodes,1.9M,7 months,After a massive explosion in an industrial site a new ecosystem evolves. But toxic chemicals affect the organisms; the predatory ...,2026-01-22 02:35:29.879783
/watch?v=aemPTExLqfY&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@Mr.Tank713,Mr. Tank,I Built a Mini Bug Ecosystem,413K,5 months,"I built a mini bug ecosystem filled with fascinating creatures, from tiny cleaners to fierce hunters, all working together in their new ...",2026-01-22 02:35:38.997140
/watch?v=RgUiCWSull8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@TerrariumDesigns,Terrarium Designs,"I Made a Giant Ecosystem For Vampire Crabs, Here’s How!",2.9M,1 year,"In this video I'll be building a multi species ecosystem for fish, shrimp and vampire crabs! The paludarium will incorporate a ...",2026-01-22 02:35:38.999762
/watch?v=t1WukwToXn8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@WildExperiments-Official,Wild Experiments,"Simulating a Jungle for 500 Days (Predators and 1,000 Ants)",381K,4 months,"In this video, I create a 100-day terrarium experiment where a glass box was transformed into a living forest full of ants.",2026-01-22 02:35:39.000967
/watch?v=dz7QN2GZpSg&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@leafystreet,Leafy Street,Making my Prison Frogs a Real Ecosystem (1 year experiment),7.5M,1 year,Secure your privacy with Surfshark! Enter coupon code LEAFY for an extra 3 months free at https://surfshark.deals/leafy An aquatic ...,2026-01-22 02:35:39.004338
/watch?v=M3oT3-4sSOY&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@DrPlants,Dr. Plants,Simulating Africa for 100 Days,46M,1 year,"Africa is one of the most dangerous ecosystems on earth, and I attempted to simulate it for 100 days. If an animal I show in the ...",2026-01-22 02:35:39.005721
/watch?v=OUpTuZYFYAA&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@plantbox60,plantbox,Simulating an Island for 40 Days,413K,1 year,The Creatures that i added to the land changed everything. Let me know what other videos you want to see? If you ...,2026-01-22 02:35:39.007249
/watch?v=OAJOjvoF_SM&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@DrPlants,Dr. Plants,Simulating a Ocean for 100 Days,38M,2 years,"nature #ecosystem #terrarium Clownfish, hermit crabs, sea urchins, and so much more! Over the past 100 days, I documented my ...",2026-01-22 02:35:39.008764
/watch?v=UuU0DItqj8c&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@tanksfornothin,tanks for nothin,My Angry Fish Gets His Own Ecosystem (150 day story),1.9M,3 months,"Check out Odoo here: https://www.odoo.com/r/8EE I love their platform. Peter the Gold Saum has had a hard life, and with this ...",2026-01-22 02:35:39.010678
/watch?v=m7X7GHAO_rE&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@RogueJungle,RogueJungle,"A Year Ago I Made a Rainforest Ecosystem, This Happened",74K,11 months,"A full year has passed in this Rainforest Vivarium ecosystem, and a lot has happened from microfauna to deadly Poison Dart ...",2026-01-22 02:35:39.012172
/watch?v=Lwkmsh0AKx8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@TerraGreen1,TerraGreen,Simulating a Rainforest for 30 Days,3.8M,2 years,TerraGreen Merch : https://terragreenstore.com/ Over 30 days this Rainforest Terrarium transformed from a barren wasteland ...,2026-01-22 02:35:39.014035
/watch?v=dxsKHkOc3U8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@BioXoticLife,BioLife,Simulating Earths Deadliest Ecosystems,286K,11 months,Simulating Earths Deadliest Ecosystems #ecosystem #terrarium #simulation.,2026-01-22 02:35:39.015626
/watch?v=cMNpepE176s&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@TerraGreen1,TerraGreen,I Built a Lake Ecosystem on My Desk,3.8M,1 year,"TerraGreen Merch : https://terragreenstore.com/ In this video, I built a fully functional lake ecosystem on my desk. I filled the ...",2026-01-22 02:35:39.017200
/watch?v=oD2OrBjqVtY&pp=ygUKZWNvc3lzdGVtINIHCQmHCgGHKiGM7w%3D%3D,/@DrPlants,Dr. Plants,Simulating a Forest for 100 Days,70M,2 years,"nature #ecosystem #terrarium Scorpions, Jumping Spiders, Millipedes and so much more! Over the past 100 days, I documented ...",2026-01-22 02:35:39.018786
/watch?v=hLUwzBy-hNE&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@Mr.TanksLab,Mr. Tank’s Lab,Simulating a Lake Ecosystem for 365 Days,486K,9 months,"A full year has passed since I built this miniature lake ecosystem, and it's time for an update! In my first video on the main channel, ...",2026-01-22 02:35:39.020306
/watch?v=KYnK5OuFdCE&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@Mr.Tank713,Mr. Tank,I built an Ecosystem for a Betta Fish,5.4M,1 year,"In this videos I rescued a sick betta fish from a pet store, giving him a second chance at life. He was in rough shape when I found ...",2026-01-22 02:35:39.021692
/watch?v=woSFGeMpoxI&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@tanksfornothin,tanks for nothin,The Shallow Ecosystem on My Desk (150 Day Evolution),8.3M,2 years,Cutting an aquarium in half is not the best of ideas but it's a lot of fun. You can always DIY a something interesting out of the ...,2026-01-22 02:35:39.023537
/watch?v=4gRRS-tUs0M&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@BioXoticLife,BioLife,Simulating a Deadly Swamp for 30 Days,398K,1 year,"Fish, snails, frogs, and so much more! Over the past 30 days, I documented a deadly swamp. Watch as it transforms from nothing ...",2026-01-22 02:35:39.025326
/watch?v=TLD5UCTMICk&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@Rampy,Rampy,I Simulated A Dinosaur Ecosystem for 100 Days.......,1.9M,1 year,Support my BRAND NEW Dinosaur Business! - https://dinosaurworld.uk/ We're back with another 100 Days Dinosaur Ecosystem ...,2026-01-22 02:35:47.174575
/watch?v=jz-jxQGELC8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@MrHillbilly,MR HILLBILLY,I Simulated an Island ecosystem for 100 days,1.5M,1 year,I Simulated an Island with fish sharks and Vampire crabs. You will also see red claw crabs all inside this tropical fish tank.,2026-01-22 02:35:47.177182
/watch?v=qr_U1P7XwhI&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@HappyLearningENG,Happy Learning English,The Ecosystem | Educational Video for Kids,362K,8 years,Discover hundreds of never-before-seen resources! Create your free account at https://my.happylearning.tv/ and start learning in ...,2026-01-22 02:35:47.179105
/watch?v=-YF2Nl44TIs&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@DrPlants,Dr. Plants,I Simulated Our Planet,21M,1 year,nature #ecosystem #terrarium I attempted to recreate every ecosystem on Earth...,2026-01-22 02:35:47.182766
/watch?v=EFIHvM1xH_A&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@AquariumInfo,Aquarium Info,I Built a GIANT Ecosystem for my AXOLOTL...,2.3M,2 years,Get your own Lucy and Lemon for free today in Dragon Mania Legends by clicking https://dml.page.link/Aquarium_YouTube.,2026-01-22 02:35:47.185481
/watch?v=QCHH_xXoydY&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@MrHillbilly,MR HILLBILLY,Simulating A Jungle ecosystem for 100 days,869K,1 year,This is My Jungle Rainforest Ecosystem. I ran a 100 day simulation as it would be in the wild. From the invasion of horned worms ...,2026-01-22 02:35:47.186588
/watch?v=lSjSLJ8LPkA&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@AntsCanada,AntsCanada,I Added Animals Into My Giant Rainforest Vivarium,10M,2 years,"I created my dream tank, a 1000 gallon cloud rainforest vivarium, and constructing it has been quite a journey. It is fully stocked ...",2026-01-22 02:35:47.187721
/shorts/XnLj7CO5kpU,/@mediatetheknowledge,Mediate The Knowledge,What is an Ecosystem,49K,4 years,ecosystem #ecosystems #eco.,2026-01-22 02:35:47.188907
/watch?v=i39h7kVrlO4&pp=ygUKZWNvc3lzdGVtINIHCQmHCgGHKiGM7w%3D%3D,/@Rampy,Rampy,I Simulated A Deadly Dinosaur Ecosystem For 100 Days....,1.4M,6 months,Play Stumble Guys FREE. Now you can play as a dino! https://stumbleguys.onelink.me/Zh4x/Rampy #ad #JurassicStumble ...,2026-01-22 02:35:47.190318
/watch?v=35U4u0wxDNc&pp=ygUKZWNvc3lzdGVtINIHCQmHCgGHKiGM7w%3D%3D,/@AntsCanada,AntsCanada,Building My Next Giant Ecosystem Vivarium III: The Next Chapter,2M,1 year,"I've built my next giant ecosystem vivarium, and it is the biggest, most complex vivarium structure I've ever built. It will house a ...",2026-01-22 02:35:47.191620
/watch?v=NyCd5dfn-vs&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@AntsCanada,AntsCanada,I Built a Giant Tropical Grasslands Vivarium,650K,3 months,"The grasslands biome is the second largest land biome on Earth, and so for my fourth giant vivarium, I wanted to create the ...",2026-01-22 02:35:47.193159
/watch?v=TITrH-Ko8go&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@morebeckbros,MoreBeckBros,He Built His Own Beach Ecosystem!,174K,4 months,He Built His Own Beach Ecosystem! : BeckBros Clothing: ...,2026-01-22 02:35:47.194427
/watch?v=ivqfnOhwcYY&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@TheWildReportOfficial,The Wild Report,Ecosystems Episode 2: The Forest Ecosystem!,214K,5 years,"Forest ecosystems are among the most famous natural areas on the planet, containing a huge variety of plants and animals as ...",2026-01-22 02:35:47.196497
/watch?v=7I11OfT2EzU&pp=ygUKZWNvc3lzdGVtINIHCQmHCgGHKiGM7w%3D%3D,/@itsConnorCreates,Connor Creates,Can I Build a Tiny Ecosystem Inside Anything?,793K,1 year,I accidentally dropped it right after filming this...rip to all of my hard work lol But legit I think I'm a big terrarium guy now! this project ...,2026-01-22 02:35:47.198023
/watch?v=gvK5tqwFhW8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@AquariumInfo,Aquarium Info,I Turned my Bedroom into a Giant Ecosystem...,12M,2 years,"I turned my bedroom into a GIANT ecosystem! And at the end, I spend the night with the most poisonous animal in the world…",2026-01-22 02:35:47.199597
/shorts/uwmUQKdB4zQ,/@HomemadeEcosystems,Homemade Ecosystems,Ecosystem Growing in a Jar,412K,3 years,music: Track: Indigo — Nelvian [Audio Library Release] Music provided by Audio Library Plus Watch: ...,2026-01-22 02:35:56.758135
/shorts/iHEd-b5szVQ,/@peaceofnaturee,Peace Of Nature,"I Put Soil In A Jar, This Happened! #ecosystem #terrarium #vivarium",592K,1 year,Ecosystem if I place another jar on top of this one and seal it forever what surprises do you think await us.,2026-01-22 02:35:56.759427
/watch?v=TdR5r9vwFc8&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@LifeinJars,Life in Jars?,The 5.5 Years Old Closed Ecosystem in a Glass Box (Paludarium Ecosphere),478K,9 months,"In this video, we take a deep dive into the Paludarium Ecosphere, a 5.5 year-old self-sustaining ""cube of life."" This unique ...",2026-01-22 02:35:56.760640
/watch?v=las7BugoTbk&pp=ygUKZWNvc3lzdGVtINIHCQmHCgGHKiGM7w%3D%3D,/@Rampy,Rampy,I Simulated A Dinosaur Ecosystem For 100 Days! | Jurassic World Evolution 3,690K,3 months,"TMNT have arrived in RAID! Join Leonardo, Donatello, Raphael, Michelangelo, April & Shredder in the ultimate crossover event   ...",2026-01-22 02:35:56.763550
/shorts/X6NWFREXnd8,/@habitatForge,HabitatForge,I Made a Tiny River Ecosystem in a $3 Jar 🌱🐛 #ecosystem #ecosphere #vivarium #aquarium,39K,7 months,"built a self-sustaining aquatic ecosystem using just river water and a $3 jar from IKEA. No filters, no tech — just nature doing its ...",2026-01-22 02:35:56.766849
/shorts/vPRlMF5Jn0A,/@peaceofnaturee,Peace Of Nature,"I put dirt in a jar, it’s happening! Part 8 #aquascape #ecosystem #aquaticecosystem",9.5M,1 year,"You can find the other parts on my channel. To see nature from a different perspective and not miss my posts, feel free to ...",2026-01-22 02:35:56.768054
/shorts/1Hb-s4b31ek,/@esrevitcaf,Factiverse,The oldest terrarium and  self-sustaining ecosystem #shorts #terrarium #experiment,2.3M,1 year,The oldest terrarium and the oldest self-sustaining ecosystem experiment #shorts #terrarium Delve into the fascinating tale of ...,2026-01-22 02:35:56.771372
/shorts/O5rgdocKSTg,/@TinyBigParadise,Tiny Big Paradise,He has built a homemade ecosystem in a Tic Tac Box,76K,10 months,"ecosystem #terrarium #fishtank #handmade The original video is from Picocosmos, I recommend watching it.",2026-01-22 02:35:56.777556
/watch?v=UFgcDlE0CSk&pp=ygUKZWNvc3lzdGVtIA%3D%3D,/@MrHillbilly,MR HILLBILLY,Simulating A Desert ecosystem for 100 Days ( Grand Canyon  ),687K,2 years,"This is The Grand Canyon Ecosystem , home to some dangerous creatures and one mouse journey to survive. If you haven't seen ...",2026-01-22 02:35:56.781920
/shorts/CVQyx5NTrYU,/@EdwardPinzaru,Edward Pinzaru,can you build a self-sustaining ecosystem in a jar?,111K,9 months,can you build a self-sustaining ecosystem in a jar? Many thanks to my editors @itaysharir and Rohan for editing all my videos ...,2026-01-22 02:35:56.784552
/shorts/7uNDQTtdA-E,/@TerrariumDesigns,Terrarium Designs,Building an Ecosystem In a Glass Egg!,4.4M,1 year,... springtails so I'm going to add them now they'll help keep the ecosystem clean and healthy after a light spray and placing on the ...,2026-01-22 02:35:56.787028
/shorts/TPPe2ExFm8E,/@TerrariumDesigns,Terrarium Designs,Building a Mini ECOSYSTEM Terrarium!🌍🌱,1.2M,2 years,Watch me turn this glass box into a mini ecosystem I'm going to start by pouring in some Leica for the drainage layer on top of that ...,2026-01-22 02:35:56.788412
/shorts/RGlUGOISK0o,/@TerrariumDesigns,Terrarium Designs,Creating a Self Sustaining MINI ECOSYSTEM!🌍🌱,743K,2 years,How to turn a glass vase into a self-sustaining mini ecosystem I'm going to start by pouring in some liquor for the drainage layer ...,2026-01-22 02:35:56.789823
